datetime,home_team,away_team,home_score,away_score,home_results,away_result
2019-10-06 16:00:00,ARS,BOU,1.0,0.0,1,-1
2019-10-06 16:00:00,MCI,WOL,0.0,2.0,-1,1
2019-10-06 16:00:00,SOU,CHE,1.0,4.0,-1,1
2019-10-06 18:30:00,NEW,MUN,1.0,0.0,1,-1
2019-10-05 14:30:00,BHA,TOT,3.0,0.0,1,-1
2019-10-05 17:00:00,BUR,EVE,1.0,0.0,1,-1
2019-10-05 17:00:00,LIV,LEI,2.0,1.0,1,-1
2019-10-05 17:00:00,NOR,AVL,1.0,5.0,-1,1
2019-10-05 17:00:00,WAT,SHU,0.0,0.0,0,0
2019-10-05 19:30:00,WHU,CRY,1.0,2.0,-1,1
2019-09-30 22:00:00,MUN,ARS,1.0,1.0,0,0
2019-09-29 18:30:00,LEI,NEW,5.0,0.0,1,-1
2019-09-28 14:30:00,SHU,LIV,0.0,1.0,-1,1
2019-09-28 17:00:00,AVL,BUR,2.0,2.0,0,0
2019-09-28 17:00:00,BOU,WHU,2.0,2.0,0,0
2019-09-28 17:00:00,CHE,BHA,2.0,0.0,1,-1
2019-09-28 17:00:00,CRY,NOR,2.0,0.0,1,-1
2019-09-28 17:00:00,TOT,SOU,2.0,1.0,1,-1
2019-09-28 17:00:00,WOL,WAT,2.0,0.0,1,-1
2019-09-28 19:30:00,EVE,MCI,1.0,3.0,-1,1
2019-09-22 16:00:00,CRY,WOL,1.0,1.0,0,0
2019-09-22 16:00:00,WHU,MUN,2.0,0.0,1,-1
2019-09-22 18:30:00,ARS,AVL,3.0,2.0,1,-1
2019-09-22 18:30:00,CHE,LIV,1.0,2.0,-1,1
2019-09-21 14:30:00,LEI,TOT,2.0,1.0,1,-1
2019-09-21 17:00:00,BUR,NOR,2.0,0.0,1,-1
2019-09-21 17:00:00,EVE,SHU,0.0,2.0,-1,1
2019-09-21 17:00:00,MCI,WAT,8.0,0.0,1,-1
2019-09-21 19:30:00,NEW,BHA,0.0,0.0,0,0
2019-09-20 22:00:00,SOU,BOU,1.0,3.0,-1,1
2019-09-16 22:00:00,AVL,WHU,0.0,0.0,0,0
2019-09-15 16:00:00,BOU,EVE,3.0,1.0,1,-1
2019-09-15 18:30:00,WAT,ARS,2.0,2.0,0,0
2019-09-14 14:30:00,LIV,NEW,3.0,1.0,1,-1
2019-09-14 17:00:00,BHA,BUR,1.0,1.0,0,0
2019-09-14 17:00:00,MUN,LEI,1.0,0.0,1,-1
2019-09-14 17:00:00,SHU,SOU,0.0,1.0,-1,1
2019-09-14 17:00:00,TOT,CRY,4.0,0.0,1,-1
2019-09-14 17:00:00,WOL,CHE,2.0,5.0,-1,1
2019-09-14 19:30:00,NOR,MCI,3.0,2.0,1,-1
2019-09-01 16:00:00,EVE,WOL,3.0,2.0,1,-1
2019-09-01 18:30:00,ARS,TOT,2.0,2.0,0,0
2019-08-31 14:30:00,SOU,MUN,1.0,1.0,0,0
2019-08-31 17:00:00,CHE,SHU,2.0,2.0,0,0
2019-08-31 17:00:00,CRY,AVL,1.0,0.0,1,-1
2019-08-31 17:00:00,LEI,BOU,3.0,1.0,1,-1
2019-08-31 17:00:00,MCI,BHA,4.0,0.0,1,-1
2019-08-31 17:00:00,NEW,WAT,1.0,1.0,0,0
2019-08-31 17:00:00,WHU,NOR,2.0,0.0,1,-1
2019-08-31 19:30:00,BUR,LIV,0.0,3.0,-1,1
